ablation,accuracy,aggregation,aggregation_used_final_round,attack,average_benign_trust,average_malicious_trust,benign_client_rejection_rate,benign_updates_rejected,client_loss_variance,convergence_round_f1_0_80,data_mode,detection_f1,detection_precision,detection_recall,distillation,distillation_applied_runs,distillation_rollbacks,distillation_runs,f1,false_negatives,false_positives,feature_skew_strength,malicious_client_detection_rate,mean_client_majority_distance,mean_distillation_duration_ms,mean_pairwise_update_cosine,non_iid_alpha,poison_updates_rejected,precision,recall,seed,study,training_rounds,true_negatives,true_positives,update_norm_dispersion,update_norm_mean
,0.475,FedAvg,FedAvg,none,,,0.0,0,4.885891592354867e-05,,iid,0.0,0.0,0.0,False,0,0,0,0.0,0,0,0.0,0.0,0.018379008639199675,0.0,0.9358311634642005,,0,0.0,0.0,7,matrix,4,20,0,0.06538602819544087,0.08548667344225439
,0.475,FedAvg,FedAvg,none,,,0.0,0,4.885891592354867e-05,,iid,0.0,0.0,0.0,True,0,4,4,0.0,0,0,0.0,0.0,0.018379008639199675,9.2575,0.9358311634642005,,0,0.0,0.0,7,matrix,4,20,0,0.06538602819544087,0.08548667344225439
,0.475,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.858964,,0.0,0,4.5057466034247826e-05,,iid,0.0,0.0,0.0,False,0,0,0,0.0,0,2,0.0,0.0,0.018376258585005474,0.0,0.9362648814359479,,0,0.0,0.0,7,matrix,4,18,0,0.0666951356205477,0.08566683739324257
,0.475,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.858964,,0.0,0,4.5057466034247826e-05,,iid,0.0,0.0,0.0,True,0,4,4,0.0,0,2,0.0,0.0,0.018376258585005474,9.420000000000002,0.9362648814359479,,0,0.0,0.0,7,matrix,4,18,0,0.0666951356205477,0.08566683739324257
,0.475,FedAvg,FedAvg,poison,,,0.0,0,2.637932092562138e-05,,iid,0.0,0.0,0.0,False,0,0,0,0.0,4,0,0.0,0.0,0.37900212435421576,0.0,0.1798828430290605,,0,0.0,0.0,7,matrix,4,16,0,1.4593750852699499,0.4326561499850644
,0.475,FedAvg,FedAvg,poison,,,0.0,0,2.637932092562138e-05,,iid,0.0,0.0,0.0,True,0,4,4,0.0,4,0,0.0,0.0,0.37900212435421576,10.075000000000001,0.1798828430290605,,0,0.0,0.0,7,matrix,4,16,0,1.4593750852699499,0.4326561499850644
,0.475,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.90614025,0.19208,0.0,0,4.5170761119506e-05,,iid,0.888888888888889,0.8,1.0,False,0,0,0,0.0,0,1,0.0,1.0,0.27853194314362684,0.0,0.17153299112628811,,4,0.0,0.0,7,matrix,4,15,4,1.4491000062113364,0.3145816380356936
,0.475,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.90614025,0.19208,0.0,0,4.5170761119506e-05,,iid,0.888888888888889,0.8,1.0,True,0,4,4,0.0,0,1,0.0,1.0,0.27853194314362684,8.28325,0.17153299112628811,,4,0.0,0.0,7,matrix,4,15,4,1.4491000062113364,0.3145816380356936
,0.475,FedAvg,FedAvg,none,,,0.0,0,0.0022449943114181627,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,0,0,0.35,0.0,0.08472236333403296,0.0,0.34780547648803545,2.0,0,0.0,0.0,7,matrix,4,20,0,0.2303299899141526,0.11856111304418396
,0.475,FedAvg,FedAvg,none,,,0.0,0,0.0022449943114181627,,mild_non_iid,0.0,0.0,0.0,True,0,4,4,0.0,0,0,0.35,0.0,0.08472236333403296,9.171,0.34780547648803545,2.0,0,0.0,0.0,7,matrix,4,20,0,0.2303299899141526,0.11856111304418396
,0.475,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.8832382000000001,,0.0,0,0.00215398122790502,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,0,0,0.35,0.0,0.08475866021298772,0.0,0.34746437303312094,2.0,0,0.0,0.0,7,matrix,4,20,0,0.23159189469846492,0.11862307750650405
,0.475,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.8832382000000001,,0.0,0,0.00215398122790502,,mild_non_iid,0.0,0.0,0.0,True,0,4,4,0.0,0,0,0.35,0.0,0.08475866021298772,9.8125,0.34746437303312094,2.0,0,0.0,0.0,7,matrix,4,20,0,0.23159189469846492,0.11862307750650405
,0.525,FedAvg,FedAvg,poison,,,0.0,0,0.23891197599609199,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.6885245901639344,4,0,0.35,0.0,1.7311094143364896,0.0,0.08266755455482257,2.0,0,0.525,1.0,7,matrix,4,16,0,1.6561091307020532,1.8155736250697936
,0.525,FedAvg,FedAvg,poison,,,0.0,0,0.16007343926500026,,mild_non_iid,0.0,0.0,0.0,True,4,0,4,0.6885245901639344,4,0,0.35,0.0,1.5450518239076045,9.3235,0.07974547306978244,2.0,0,0.525,1.0,7,matrix,4,16,0,1.654363810576208,1.6195038872485874
,0.525,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.928402,0.19208,0.0,0,0.0011897261927968825,3,mild_non_iid,1.0,1.0,1.0,False,0,0,0,0.6885245901639344,0,0,0.35,1.0,0.5576868224835845,0.0,0.016980920945746113,2.0,4,0.525,1.0,7,matrix,4,16,4,1.6199513292321386,0.5732254852317422
,0.525,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.928402,0.19208,0.0,0,0.0011897261927968825,3,mild_non_iid,1.0,1.0,1.0,True,0,4,4,0.6885245901639344,0,0,0.35,1.0,0.5576868224835845,8.204749999999999,0.016980920945746113,2.0,4,0.525,1.0,7,matrix,4,16,4,1.6199513292321386,0.5732254852317422
,0.475,FedAvg,FedAvg,none,,,0.0,0,0.12167301254151598,,strong_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,0,0,0.85,0.0,0.25572767859490075,0.0,0.17440304511428434,0.2,0,0.0,0.0,7,matrix,4,20,0,0.4955059657930398,0.30965288885645537
,0.475,FedAvg,FedAvg,none,,,0.0,0,0.12167301254151598,,strong_non_iid,0.0,0.0,0.0,True,0,4,4,0.0,0,0,0.85,0.0,0.25572767859490075,9.093250000000001,0.17440304511428434,0.2,0,0.0,0.0,7,matrix,4,20,0,0.4955059657930398,0.30965288885645537
,0.525,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.78911,,0.0,0,0.009802915094822737,,strong_non_iid,0.0,0.0,0.0,False,0,0,0,0.6885245901639344,0,4,0.85,0.0,0.26042880861878553,0.0,0.1385944437359709,0.2,0,0.525,1.0,7,matrix,4,16,0,0.6824010639327444,0.29516643430599354
,0.525,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.7878912,,0.0,0,0.009220605988683885,,strong_non_iid,0.0,0.0,0.0,True,2,2,4,0.6885245901639344,0,4,0.85,0.0,0.26088876824099316,10.5115,0.14580087309721534,0.2,0,0.525,1.0,7,matrix,4,16,0,0.6625875026730094,0.29795413661305187
,0.475,FedAvg,FedAvg,poison,,,0.0,0,0.8095919616719447,,strong_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,4,0,0.85,0.0,1.4007767472896553,0.0,-0.09822685237037312,0.2,0,0.0,0.0,7,matrix,4,16,0,1.4531185380575957,1.44606804028165
,0.475,FedAvg,FedAvg,poison,,,0.0,0,0.8487902377203218,,strong_non_iid,0.0,0.0,0.0,True,3,1,4,0.0,4,0,0.85,0.0,1.4348347133768378,9.079249999999998,-0.09373980983607218,0.2,0,0.0,0.0,7,matrix,4,16,0,1.4567771300494061,1.4814395926985466
,0.475,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.9156187499999999,0.19208,0.0,0,0.042720064387813846,,strong_non_iid,1.0,1.0,1.0,False,0,0,0,0.0,0,0,0.85,1.0,0.9077737932071115,0.0,-0.12296468932126486,0.2,4,0.0,0.0,7,matrix,4,16,4,1.3238762395816688,0.9305156326531313
,0.475,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.9156187499999999,0.19208,0.0,0,0.042720064387813846,,strong_non_iid,1.0,1.0,1.0,True,0,4,4,0.0,0,0,0.85,1.0,0.9077737932071115,8.27075,-0.12296468932126486,0.2,4,0.0,0.0,7,matrix,4,16,4,1.3238762395816688,0.9305156326531313
,0.57,FedAvg,FedAvg,none,,,0.0,0,1.4860500955617827e-05,,iid,0.0,0.0,0.0,False,0,0,0,0.7261146496815286,0,0,0.0,0.0,0.02521837025063255,0.0,0.897276860226141,,0,0.57,1.0,42,matrix,4,20,0,0.09260409407278629,0.08787972149809012
,0.57,FedAvg,FedAvg,none,,,0.0,0,1.4860500955617827e-05,,iid,0.0,0.0,0.0,True,0,4,4,0.7261146496815286,0,0,0.0,0.0,0.02521837025063255,9.35825,0.897276860226141,,0,0.57,1.0,42,matrix,4,20,0,0.09260409407278629,0.08787972149809012
,0.57,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.7756036,,0.0,0,1.5820021903134204e-05,,iid,0.0,0.0,0.0,False,0,0,0,0.7261146496815286,0,3,0.0,0.0,0.025216671141845663,0.0,0.8967462670642335,,0,0.57,1.0,42,matrix,4,17,0,0.09143890937657083,0.08772786446643666
,0.57,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.7756036,,0.0,0,1.5820021903134204e-05,,iid,0.0,0.0,0.0,True,0,4,4,0.7261146496815286,0,3,0.0,0.0,0.025216671141845663,9.231750000000002,0.8967462670642335,,0,0.57,1.0,42,matrix,4,17,0,0.09143890937657083,0.08772786446643666
,0.57,FedAvg,FedAvg,poison,,,0.0,0,0.0006385824831122364,,iid,0.0,0.0,0.0,False,0,0,0,0.7261146496815286,4,0,0.0,0.0,0.4565434804909541,0.0,0.18256430939988683,,0,0.57,1.0,42,matrix,4,16,0,1.5113008667686407,0.5118269643672586
,0.57,FedAvg,FedAvg,poison,,,0.0,0,0.0006385824831122364,,iid,0.0,0.0,0.0,True,1,3,4,0.7261146496815286,4,0,0.0,0.0,0.4565434804909541,9.062999999999999,0.18256430939988683,,0,0.57,1.0,42,matrix,4,16,0,1.5113008667686407,0.5118269643672586
,0.57,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.9350505,0.19208,0.0,0,1.505996776535995e-05,,iid,1.0,1.0,1.0,False,0,0,0,0.7261146496815286,0,0,0.0,1.0,0.3183030523600665,0.0,0.16990565037341757,,4,0.57,1.0,42,matrix,4,16,4,1.5047408351580647,0.3511039705028829
,0.57,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.9350505,0.19208,0.0,0,1.505996776535995e-05,,iid,1.0,1.0,1.0,True,0,4,4,0.7261146496815286,0,0,0.0,1.0,0.3183030523600665,8.20625,0.16990565037341757,,4,0.57,1.0,42,matrix,4,16,4,1.5047408351580647,0.3511039705028829
,0.57,FedAvg,FedAvg,none,,,0.0,0,0.0004772960624439476,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.7261146496815286,0,0,0.35,0.0,0.09282844287404354,0.0,0.36387438756689205,2.0,0,0.57,1.0,42,matrix,4,20,0,0.39663406101825316,0.12362164922168159
,0.57,FedAvg,FedAvg,none,,,0.0,0,0.0004772960624439476,,mild_non_iid,0.0,0.0,0.0,True,0,4,4,0.7261146496815286,0,0,0.35,0.0,0.09282844287404354,9.574750000000002,0.36387438756689205,2.0,0,0.57,1.0,42,matrix,4,20,0,0.39663406101825316,0.12362164922168159
,0.5925,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.8790878,,0.0,0,0.0004812276874858565,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.7366720516962844,0,0,0.35,0.0,0.0928266778575442,0.0,0.36431093662516867,2.0,0,0.5831202046035806,1.0,42,matrix,4,20,0,0.3963784986510104,0.12365843988778169
,0.5925,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.8790878,,0.0,0,0.0004812276874858565,,mild_non_iid,0.0,0.0,0.0,True,0,4,4,0.7366720516962844,0,0,0.35,0.0,0.0928266778575442,10.810749999999999,0.36431093662516867,2.0,0,0.5831202046035806,1.0,42,matrix,4,20,0,0.3963784986510104,0.12365843988778169
,0.43,FedAvg,FedAvg,poison,,,0.0,0,0.03180383218307672,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,4,0,0.35,0.0,0.7092681261172455,0.0,0.19757733176532255,2.0,0,0.0,0.0,42,matrix,4,16,0,1.5769896272215456,0.7546856731020606
,0.43,FedAvg,FedAvg,poison,,,0.0,0,0.031035538539598364,,mild_non_iid,0.0,0.0,0.0,True,3,1,4,0.0,4,0,0.35,0.0,0.7232271502224461,10.629000000000001,0.1997008301941301,2.0,0,0.0,0.0,42,matrix,4,16,0,1.5726916966756912,0.7707740420910041
,0.43,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.91882525,0.19208,0.0,0,0.001119705403021194,,mild_non_iid,1.0,1.0,1.0,False,0,0,0,0.0,0,0,0.35,1.0,0.451701876453027,0.0,0.2474106935811167,2.0,4,0.0,0.0,42,matrix,4,16,4,1.5027760783042547,0.4868210292954637
,0.43,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.91882525,0.19208,0.0,0,0.001119705403021194,,mild_non_iid,1.0,1.0,1.0,True,0,4,4,0.0,0,0,0.35,1.0,0.451701876453027,10.56525,0.2474106935811167,2.0,4,0.0,0.0,42,matrix,4,16,4,1.5027760783042547,0.4868210292954637
